Vendedor	Treinamento	Data	Cliente	 Valor 	Alunos	Instrutor	Conteúdo	Período	Total	Estado 	Avaliação Instrutor
Rodrigo	Access	01/06/2016	Pessoa Física	 880,00 	9	Caio 	Regular	Manhã	7.920,00	São Paulo	3
Priscila	Windows	01/06/2016	Pessoa Jurídica	 750,00 	12	Fernando	Regular	Tarde	9.000,00	São Paulo	4
Mirian	Excel Básico	01/06/2016	Pessoa Jurídica	 800,00 	8	Roberto	Personalizado	Noite	6.400,00	São Paulo	3
Murilo	Excel Intermediário	01/06/2016	Pessoa Jurídica	 1.000,00 	10	Rosana	Regular	Integral	10.000,00	São Paulo	3
Roberto	Excel Avançado	01/06/2016	Pessoa Física	 1.200,00 	12	Sandra	Regular	Madrugada	14.400,00	São Paulo	4
Myslaine	Excel Dashboards	01/06/2016	Pessoa Jurídica	 1.480,00 	10	Sérgio	Regular	Sábado	14.800,00	São Paulo	3
Katia	Excel VBA iniciante	02/06/2016	Pessoa Física	 1.400,00 	12	Manuel	Personalizado	Domingo	16.800,00	São Paulo	2
Vanessa	Excel VBA avançado	02/06/2016	Pessoa Física	 1.890,00 	11	Joaquim	Regular	Personalizado	20.790,00	São Paulo	3
Renata	Access VBA	02/06/2016	Pessoa Física	 1.200,00 	9	Paulo	Regular	Manhã	10.800,00	São Paulo	2
Rodrigo	Word VBA	02/06/2016	Pessoa Jurídica	 1.200,00 	9	Leandro	Regular	Tarde	10.800,00	São Paulo	2
Priscila	Outlook	04/06/2016	Pessoa Jurídica	 800,00 	11	José	Personalizado	Noite	8.800,00	São Paulo	5
Mirian	Outlook VBA	04/06/2016	Pessoa Jurídica	 110,00 	12	Caio 	Regular	Integral	1.320,00	São Paulo	4
Murilo	PowerPoint	04/06/2016	Pessoa Física	 900,00 	9	Caio 	Regular	Madrugada	8.100,00	São Paulo	4
Roberto	PowerPoint VBA	04/06/2016	Pessoa Jurídica	 1.180,00 	8	Fernando	Regular	Segunda-feira	9.440,00	São Paulo	3
Myslaine	Access	06/06/2016	Pessoa Física	 880,00 	12	Fernando	Personalizado	Terça-feira	10.560,00	São Paulo	5
Katia	Windows	06/06/2016	Pessoa Física	 750,00 	12	Ana	Regular	Personalizado	9.000,00	São Paulo	3
Vanessa	Excel Básico	06/06/2016	Pessoa Física	 800,00 	11	Paulo	Regular	Manhã	8.800,00	São Paulo	3
Renata	Excel Intermediário	06/06/2016	Pessoa Jurídica	 1.000,00 	12	Sandra	Regular	Tarde	12.000,00	São Paulo	5
Rodrigo	Excel Avançado	08/06/2016	Pessoa Jurídica	 1.200,00 	12	Sandra	Personalizado	Noite	14.400,00	São Paulo	2
Priscila	Excel Dashboards	08/06/2016	Pessoa Jurídica	 1.480,00 	8	Humberto	Regular	Integral	11.840,00	São Paulo	5
Mirian	Excel VBA iniciante	08/06/2016	Pessoa Física	 1.400,00 	11	Henrique	Regular	Madrugada	15.400,00	São Paulo	3
Murilo	Excel VBA avançado	08/06/2016	Pessoa Jurídica	 1.890,00 	12	Douglas	Regular	Quarta-feira	22.680,00	São Paulo	2
Roberto	Access VBA	10/06/2016	Pessoa Física	 1.200,00 	8	Jane	Personalizado	Quinta-feira	9.600,00	São Paulo	2
Myslaine	Word VBA	10/06/2016	Pessoa Física	 1.200,00 	12	Caio 	Regular	Personalizado	14.400,00	São Paulo	3
Katia	Outlook	10/06/2016	Pessoa Física	 800,00 	10	Fernando	Regular	Manhã	8.000,00	São Paulo	4
Vanessa	Outlook VBA	10/06/2016	Pessoa Jurídica	 110,00 	11	Roberto	Regular	Tarde	1.210,00	São Paulo	2
Renata	PowerPoint	12/06/2016	Pessoa Jurídica	 900,00 	11	Rosana	Personalizado	Noite	9.900,00	São Paulo	2
Rodrigo	PowerPoint VBA	12/06/2016	Pessoa Jurídica	 1.180,00 	9	Sandra	Regular	Integral	10.620,00	São Paulo	5
Priscila	Access	12/06/2016	Pessoa Física	 3.200,00 	8	Sérgio	Regular	Madrugada	25.600,00	São Paulo	3
Mirian	Windows	12/06/2016	Pessoa Jurídica	 3.921,00 	10	Manuel	Regular	Sexta-feira	39.210,00	São Paulo	4
Murilo	Excel Básico	14/06/2016	Pessoa Física	 780,00 	12	Joaquim	Personalizado	Sábado	9.360,00	São Paulo	3
Roberto	Excel Intermediário	14/06/2016	Pessoa Física	 980,00 	8	Paulo	Regular	Personalizado	7.840,00	São Paulo	2
Myslaine	Excel Avançado	14/06/2016	Pessoa Física	 1.020,00 	12	Leandro	Regular	Manhã	12.240,00	São Paulo	5
Katia	Excel Dashboards	14/06/2016	Pessoa Jurídica	 1.340,00 	9	José	Regular	Tarde	12.060,00	São Paulo	5
Vanessa	Excel VBA iniciante	16/06/2016	Pessoa Jurídica	 1.870,00 	10	Caio 	Personalizado	Noite	18.700,00	São Paulo	3
Renata	Excel VBA avançado	16/06/2016	Pessoa Jurídica	 1.910,00 	9	Caio 	Regular	Integral	17.190,00	São Paulo	4
Rodrigo	Access VBA	16/06/2016	Pessoa Física	 2.240,00 	9	Fernando	Regular	Madrugada	20.160,00	São Paulo	4
Priscila	Word VBA	16/06/2016	Pessoa Jurídica	 2.479,00 	9	Fernando	Regular	Domingo	22.311,00	São Paulo	3
Mirian	Outlook	18/06/2016	Pessoa Física	 3.200,00 	11	Ana	Personalizado	Segunda-feira	35.200,00	São Paulo	3
Murilo	Outlook VBA	18/06/2016	Pessoa Física	 3.921,00 	12	Paulo	Regular	Personalizado	47.052,00	São Paulo	4
Roberto	PowerPoint	18/06/2016	Pessoa Física	 780,00 	10	Sandra	Regular	Manhã	7.800,00	São Paulo	3
Myslaine	PowerPoint VBA	18/06/2016	Pessoa Jurídica	 980,00 	12	Sandra	Regular	Tarde	11.760,00	São Paulo	3
Katia	Access	01/06/2016	Pessoa Jurídica	 1.020,00 	12	Humberto	Personalizado	Noite	12.240,00	São Paulo	2
Vanessa	Windows	01/06/2016	Pessoa Jurídica	 1.340,00 	10	Henrique	Regular	Integral	13.400,00	São Paulo	4
Renata	Excel Básico	01/06/2016	Pessoa Física	 1.870,00 	9	Douglas	Regular	Madrugada	16.830,00	São Paulo	4
Rodrigo	Excel Intermediário	01/06/2016	Pessoa Jurídica	 1.910,00 	12	Jane	Regular	Terça-feira	22.920,00	São Paulo	4
